#TAG,NAME IN REPO (or git url),"НАЗНАЧЕНИЕ (должна быть глагольная фраза, которая правильно звучит во время установки)"
,xorg-server,"это графический сервер. Этот первый может занять некоторое время, так как он сначала извлекает многие другие зависимости при чистой установке."
,xorg-xwininfo,позволяет запрашивать информацию об окнах.
,xorg-xinit,запускает графический сервер.
,polkit,управляет пользовательскими политиками.
,ttf-linux-libertine,предоставляет шрифты без засечек и без засечек для LARBS.
,ttf-font-awesome,обеспечивает расширенную поддержку глифов.
,ttf-dejavu,правильно отображает смайлики.
,lf,"это обширный терминальный файловый менеджер, который всем нравится."
A,ctpv-git,включает предварительный просмотр в файловом менеджере lf.
,bc,"это математический язык, используемый для выпадающего калькулятора."
,xcompmgr,для прозрачности и устранения разрывов экрана.
,xorg-xprop,это инструмент для определения свойств окна.
,arandr,позволяет пользователю настраивать расположение мониторов.
,dosfstools,позволяет вашему компьютеру получить доступ к DOS-подобным файловым системам.
,libnotify,разрешает уведомления на рабочем столе.
,dunst,это безотказная система уведомлений.
,exfat-utils,позволяет управлять дисками FAT.
,xwallpaper,устанавливает обои.
,ffmpeg,может записывать и монтировать видео и аудио в командной строке.
,ffmpegthumbnailer,создает превью миниатюр видеофайлов.
,gnome-keyring,служит системным брелоком для паролей
G,tokyonight-gtk-themes,"Кайфная тема"
,neovim,более аккуратный vim с некоторыми полезными функциями
,mpd,это легкий музыкальный демон.
,mpc,это терминальный интерфейс для mpd.
,mpv,видеоплеер выбора патриция.
,man-db,позволяет читать справочные страницы программ.
,ncmpcpp,интерфейс ncurses для музыки в нескольких форматах и мощный редактор тегов.
,newsboat,это терминальный RSS-клиент.
,noto-fonts,представляет собой обширный пакет шрифтов.
,noto-fonts-emoji,это шрифт эмодзи.
,ntfs-3g,разрешает доступ к разделам NTFS.
,wireplumber,это аудиосистема.
,pipewire-pulse,обеспечивает совместимость pipewire с программами PulseAudio.
,pulsemixer,это звуковой контроллер.
A,sc-im,это Excel-подобный менеджер электронных таблиц терминала.
,maim,могу сделать быстрые скриншоты по вашему запросу.
A,abook,"это автономная адресная книга, которую может использовать neomutt."
,unzip,расстегивает молнии.
,w3m,"это терминальный браузер, для создания предварительного просмотра веб-сайтов, электронных писем и HTML-файлов в терминале."
,xcape,дает специальные escape/super отображения LARBS.
,xclip,позволяет копировать и вставлять из командной строки.
,xdotool,предоставляет утилиты оконных действий в командной строке.
,yt-dlp,может скачать любое видео с YouTube (или плейлист или канал) по ссылке.
,zathura,"это просмотрщик PDF с привязками, подобными vim."
,zathura-pdf-mupdf,обеспечивает совместимость mupdf pdf в zathura.
,poppler,манипулирует файлами .pdf и обеспечивает предварительный просмотр файлов .pdf и другие функции для файлов .pdf.
,mediainfo,показывает аудио- и видеоинформацию и используется в файловом браузере.
,atool,управляет и предоставляет информацию об архивах.
,fzf,"это инструмент нечеткого поиска, используемый для легкого выбора и расположения файлов."
,bat,может выделять вывод кода и отображать файлы и используется для предварительного просмотра в файловом браузере.
,xorg-xbacklight,позволяет изменять уровни яркости экрана.
,bpytop,это графический и красочный системный монитор.
G,https://github.com/TorgovetsSKotom/dwmblocks-tsk.git,служит модульной строкой состояния.
G,https://github.com/TorgovetsSKotom/dmenu-tsk.git,запускает команды и предоставляет пользовательский интерфейс для выбора.
#G,https://github.com/TorgovetsSKotom/st-tsk.git,моя собственная сборка эмулятора терминала Suckless.
#G,https://github.com/TorgovetsSKotom/sxiv-tsk.git,это минималистский просмотрщик изображений.
G,https://github.com/eylles/rxiv.git, это форк минималистского просмотрщика изображений.
,kitty,Функциональный эмулятор терминала
G,https://github.com/TorgovetsSKotom/dwm-tsk.git,является оконным менеджером.
,neomutt,это легкая система электронной почты на основе терминала.
,slock,позволяет заблокировать компьютер и быстро разблокировать его с помощью пароля.
,socat,"это утилита, которая устанавливает два байтовых потока и передает данные между ними."
,moreutils,представляет собой набор полезных инструментов Unix.
,ytfzf,"Youtube в терминале с использованием fzf, yt-dlp и mpv"
,ddgr,Поиск в DuckDuckGo в терминале
,transmission-cli,консольный торрентовик
,pdfarranger,Редактор pdf
,freeplane,Редактор минд схем
,xdg-user-dirs,Автосоздание домашних директорий
,qutebrowser,минималистичный расширяемый браузер с клавиатурным управлением
A,buku,Менеджер вкладок
A,cava,Побочный визуализатор
,aria2,Консольный загрузчик
,libreoffice,Офисный пакет
,gimp,Редактор фото
,blender,Универсальный 3D редактор
A,portproton,Игровой порт steam wine и лоадеров игр
,conky,
,diff-so-fancy,улучшенное сравнение файлов по сравнению с diff
,imagemagick,Разные средства динамического изменения изображений
